Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
30.500	1.4000	0.026201	38.167	19.577	21.929	98.039	30.585	42.040	261.09	10.484	15.347	0.017776	vapor
30.500	1.5000	0.028229	35.424	19.546	21.884	97.360	30.703	42.443	260.31	10.487	15.363	0.017841	vapor
30.500	1.6000	0.030281	33.024	19.514	21.840	96.717	30.823	42.858	259.51	10.490	15.380	0.017908	vapor
30.500	1.7000	0.032359	30.904	19.482	21.795	96.106	30.945	43.286	258.71	10.493	15.398	0.017978	vapor
30.500	1.8000	0.034461	29.018	19.450	21.749	95.521	31.068	43.726	257.91	10.496	15.416	0.018049	vapor
30.500	1.9000	0.036591	27.329	19.417	21.703	94.961	31.194	44.181	257.10	10.498	15.436	0.018123	vapor
30.500	2.0000	0.038747	25.808	19.384	21.656	94.423	31.321	44.650	256.29	10.501	15.456	0.018200	vapor
30.500	2.1000	0.040932	24.431	19.351	21.609	93.904	31.451	45.135	255.46	10.503	15.478	0.018279	vapor
30.500	2.2000	0.043145	23.178	19.317	21.561	93.402	31.583	45.636	254.63	10.505	15.500	0.018361	vapor
30.500	2.3000	0.045389	22.032	19.283	21.513	92.916	31.717	46.154	253.80	10.506	15.524	0.018446	vapor
30.500	2.4000	0.047664	20.980	19.248	21.464	92.443	31.853	46.690	252.96	10.508	15.548	0.018534	vapor
30.500	2.5000	0.049971	20.012	19.213	21.415	91.984	31.992	47.245	252.11	10.509	15.574	0.018625	vapor
30.500	2.6000	0.052311	19.116	19.178	21.365	91.536	32.133	47.821	251.25	10.510	15.600	0.018720	vapor
30.500	2.7000	0.054686	18.286	19.142	21.314	91.098	32.277	48.418	250.39	10.510	15.628	0.018818	vapor
30.500	2.8000	0.057097	17.514	19.105	21.263	90.670	32.424	49.038	249.52	10.511	15.658	0.018920	vapor
30.500	2.9000	0.059545	16.794	19.068	21.211	90.251	32.574	49.682	248.64	10.510	15.688	0.019026	vapor
30.500	3.0000	0.062032	16.121	19.030	21.159	89.839	32.726	50.352	247.75	10.510	15.720	0.019136	vapor
30.500	3.1000	0.064559	15.490	18.992	21.105	89.435	32.882	51.049	246.86	10.509	15.753	0.019251	vapor
30.500	3.2000	0.067127	14.897	18.953	21.051	89.037	33.042	51.776	245.95	10.508	15.788	0.019370	vapor
30.500	3.3000	0.069740	14.339	18.914	20.997	88.644	33.204	52.534	245.04	10.506	15.825	0.019495	vapor
30.500	3.4000	0.072398	13.813	18.874	20.941	88.257	33.371	53.326	244.12	10.504	15.863	0.019625	vapor
30.500	3.5000	0.075103	13.315	18.834	20.885	87.875	33.542	54.154	243.19	10.501	15.902	0.019761	vapor
30.500	3.6000	0.077859	12.844	18.792	20.827	87.497	33.716	55.021	242.25	10.497	15.944	0.019903	vapor
30.500	3.7000	0.080666	12.397	18.750	20.769	87.122	33.895	55.929	241.29	10.493	15.987	0.020051	vapor
30.500	3.8000	0.083527	11.972	18.708	20.710	86.751	34.079	56.883	240.33	10.488	16.033	0.020207	vapor
30.500	3.9000	0.086446	11.568	18.664	20.650	86.382	34.268	57.885	239.36	10.483	16.080	0.020370	vapor
30.500	4.0000	0.089425	11.183	18.620	20.589	86.015	34.462	58.940	238.37	10.477	16.130	0.020542	vapor
30.500	4.1000	0.092468	10.815	18.575	20.526	85.651	34.661	60.053	237.37	10.470	16.182	0.020722	vapor
30.500	4.2000	0.095576	10.463	18.529	20.463	85.288	34.866	61.228	236.36	10.462	16.237	0.020911	vapor
30.500	4.3000	0.098755	10.126	18.482	20.398	84.926	35.078	62.471	235.34	10.453	16.295	0.021111	vapor
30.500	4.4000	0.10201	9.8031	18.434	20.332	84.564	35.296	63.789	234.30	10.443	16.355	0.021322	vapor
30.500	4.5000	0.10534	9.4930	18.385	20.265	84.203	35.522	65.188	233.25	10.432	16.418	0.021545	vapor
30.500	4.6000	0.10876	9.1948	18.335	20.196	83.841	35.755	66.679	232.18	10.419	16.485	0.021781	vapor
30.500	4.7000	0.11226	8.9077	18.283	20.126	83.478	35.996	68.269	231.09	10.406	16.555	0.022032	vapor
30.500	4.8000	0.11586	8.6310	18.231	20.054	83.114	36.247	69.970	229.99	10.391	16.629	0.022298	vapor
30.500	4.9000	0.11956	8.3638	18.177	19.980	82.749	36.507	71.795	228.87	10.374	16.706	0.022581	vapor
30.500	5.0000	0.12337	8.1055	18.121	19.905	82.381	36.778	73.758	227.73	10.356	16.788	0.022883	vapor
30.500	5.1000	0.12730	7.8554	18.064	19.828	82.011	37.060	75.877	226.56	10.335	16.875	0.023206	vapor
30.500	5.2000	0.13135	7.6130	18.006	19.748	81.637	37.355	78.173	225.38	10.313	16.967	0.023552	vapor
30.500	5.3000	0.13554	7.3777	17.945	19.666	81.259	37.663	80.668	224.17	10.289	17.065	0.023924	vapor
30.500	5.4000	0.13988	7.1489	17.883	19.582	80.876	37.987	83.394	222.94	10.262	17.169	0.024325	vapor
30.500	5.5000	0.14438	6.9260	17.819	19.495	80.488	38.328	86.383	221.67	10.232	17.279	0.024758	vapor
30.500	5.6000	0.14906	6.7086	17.752	19.405	80.093	38.687	89.680	220.38	10.199	17.397	0.025229	vapor
30.500	5.7000	0.15394	6.4962	17.682	19.312	79.690	39.068	93.336	219.05	10.163	17.523	0.025740	vapor
30.500	5.8000	0.15903	6.2882	17.610	19.215	79.279	39.472	97.417	217.68	10.122	17.659	0.026300	vapor
30.500	5.9000	0.16436	6.0841	17.535	19.115	78.858	39.904	102.01	216.27	10.078	17.804	0.026915	vapor
30.500	6.0000	0.16997	5.8834	17.456	19.010	78.425	40.366	107.21	214.81	10.028	17.962	0.027594	vapor
30.500	6.1000	0.17589	5.6855	17.373	18.899	77.979	40.865	113.17	213.30	9.9728	18.134	0.028349	vapor
30.500	6.2000	0.18216	5.4897	17.286	18.784	77.516	41.405	120.07	211.73	9.9106	18.321	0.029194	vapor
30.500	6.3000	0.18885	5.2953	17.193	18.661	77.035	41.996	128.16	210.08	9.8405	18.527	0.030149	vapor
30.500	6.4000	0.19602	5.1016	17.094	18.531	76.531	42.647	137.81	208.35	9.7610	18.755	0.031237	vapor
30.500	6.5000	0.20377	4.9075	16.988	18.392	75.999	43.371	149.54	206.51	9.6702	19.010	0.032494	vapor
30.500	6.6000	0.21224	4.7117	16.872	18.241	75.433	44.190	164.14	204.55	9.5654	19.298	0.033967	vapor
30.500	6.7000	0.22160	4.5127	16.746	18.076	74.825	45.128	182.88	202.42	9.4429	19.629	0.035729	vapor
30.500	6.8000	0.23213	4.3080	16.605	17.894	74.160	46.230	207.97	200.07	9.2975	20.016	0.037893	vapor
30.500	6.9000	0.24426	4.0940	16.444	17.687	73.418	47.563	243.57	197.43	9.1208	20.483	0.040653	vapor
30.500	7.0000	0.25874	3.8649	16.254	17.445	72.562	49.254	298.73	194.31	8.8984	21.067	0.044381	vapor
