Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
60.000	3.2000	0.057599	17.361	20.059	22.504	93.604	32.782	47.440	265.22	8.2276	17.076	0.021291	vapor
60.000	3.3000	0.059667	16.760	20.030	22.464	93.261	32.868	47.815	264.65	8.2228	17.101	0.021373	vapor
60.000	3.4000	0.061754	16.193	20.002	22.425	92.925	32.955	48.199	264.07	8.2177	17.128	0.021457	vapor
60.000	3.5000	0.063862	15.659	19.973	22.385	92.595	33.042	48.592	263.49	8.2123	17.156	0.021542	vapor
60.000	3.6000	0.065990	15.154	19.944	22.345	92.271	33.130	48.994	262.91	8.2065	17.184	0.021630	vapor
60.000	3.7000	0.068141	14.676	19.915	22.305	91.953	33.219	49.405	262.33	8.2005	17.214	0.021721	vapor
60.000	3.8000	0.070313	14.222	19.886	22.264	91.640	33.309	49.826	261.74	8.1942	17.244	0.021813	vapor
60.000	3.9000	0.072508	13.792	19.856	22.223	91.332	33.399	50.257	261.16	8.1875	17.276	0.021908	vapor
60.000	4.0000	0.074726	13.382	19.826	22.182	91.029	33.490	50.699	260.58	8.1804	17.308	0.022006	vapor
60.000	4.1000	0.076967	12.993	19.796	22.140	90.729	33.583	51.152	259.99	8.1730	17.342	0.022106	vapor
60.000	4.2000	0.079232	12.621	19.765	22.098	90.434	33.676	51.616	259.41	8.1653	17.377	0.022209	vapor
60.000	4.3000	0.081523	12.267	19.734	22.056	90.143	33.770	52.092	258.82	8.1571	17.413	0.022314	vapor
60.000	4.4000	0.083838	11.928	19.703	22.013	89.855	33.865	52.580	258.23	8.1486	17.450	0.022423	vapor
60.000	4.5000	0.086179	11.604	19.672	21.970	89.570	33.961	53.081	257.65	8.1396	17.488	0.022534	vapor
60.000	4.6000	0.088547	11.293	19.640	21.927	89.289	34.058	53.595	257.06	8.1302	17.527	0.022648	vapor
60.000	4.7000	0.090943	10.996	19.609	21.883	89.010	34.156	54.122	256.47	8.1203	17.568	0.022766	vapor
60.000	4.8000	0.093366	10.711	19.576	21.839	88.735	34.255	54.664	255.88	8.1100	17.610	0.022887	vapor
60.000	4.9000	0.095817	10.437	19.544	21.794	88.461	34.354	55.221	255.29	8.0993	17.653	0.023011	vapor
60.000	5.0000	0.098298	10.173	19.511	21.749	88.190	34.455	55.793	254.70	8.0880	17.698	0.023139	vapor
60.000	5.1000	0.10081	9.9197	19.478	21.704	87.922	34.557	56.381	254.11	8.0762	17.744	0.023271	vapor
60.000	5.2000	0.10335	9.6757	19.444	21.658	87.655	34.661	56.985	253.52	8.0640	17.792	0.023406	vapor
60.000	5.3000	0.10593	9.4406	19.410	21.612	87.390	34.765	57.607	252.93	8.0511	17.841	0.023545	vapor
60.000	5.4000	0.10853	9.2138	19.376	21.566	87.127	34.870	58.247	252.34	8.0377	17.892	0.023689	vapor
60.000	5.5000	0.11117	8.9950	19.341	21.519	86.865	34.977	58.906	251.75	8.0238	17.945	0.023837	vapor
60.000	5.6000	0.11385	8.7837	19.306	21.471	86.605	35.084	59.585	251.16	8.0092	17.999	0.023989	vapor
60.000	5.7000	0.11656	8.5795	19.271	21.423	86.347	35.193	60.284	250.57	7.9940	18.055	0.024146	vapor
60.000	5.8000	0.11930	8.3820	19.235	21.375	86.089	35.303	61.004	249.99	7.9782	18.113	0.024307	vapor
60.000	5.9000	0.12209	8.1908	19.199	21.326	85.833	35.415	61.746	249.40	7.9617	18.172	0.024474	vapor
60.000	6.0000	0.12491	8.0057	19.162	21.276	85.578	35.528	62.512	248.81	7.9445	18.234	0.024646	vapor
60.000	6.1000	0.12777	7.8264	19.125	21.226	85.323	35.642	63.303	248.22	7.9266	18.298	0.024823	vapor
60.000	6.2000	0.13068	7.6525	19.088	21.176	85.070	35.757	64.118	247.64	7.9080	18.363	0.025006	vapor
60.000	6.3000	0.13362	7.4838	19.050	21.125	84.817	35.874	64.961	247.05	7.8886	18.431	0.025194	vapor
60.000	6.4000	0.13661	7.3201	19.012	21.073	84.564	35.992	65.831	246.47	7.8684	18.502	0.025389	vapor
60.000	6.5000	0.13964	7.1611	18.973	21.021	84.312	36.112	66.730	245.89	7.8474	18.574	0.025590	vapor
60.000	6.6000	0.14272	7.0066	18.934	20.969	84.061	36.233	67.660	245.31	7.8255	18.650	0.025798	vapor
60.000	6.7000	0.14585	6.8563	18.894	20.915	83.809	36.356	68.622	244.73	7.8028	18.727	0.026012	vapor
60.000	6.8000	0.14903	6.7102	18.853	20.862	83.558	36.480	69.618	244.15	7.7792	18.808	0.026234	vapor
60.000	6.9000	0.15225	6.5680	18.813	20.807	83.307	36.606	70.648	243.58	7.7546	18.891	0.026463	vapor
60.000	7.0000	0.15553	6.4295	18.771	20.752	83.056	36.733	71.716	243.01	7.7290	18.977	0.026699	vapor
