,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],sample volume std [mL],drop volume (fit) [uL],drop volume (fit) std [uL],sample volume (fit) [mL],sample volume (fit) std [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume (fit) [mL/g],specific volume error [mL/g],specific volume error (stat) [mL/g],specific volume error (sys) [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
13,4970,4972.5922,1.0291756701360186,-0.08939,1e-05,7.7031125000000005,1.299038105687305e-05,27.000590000000003,1e-05,0.0022880764269781204,0.07222604279448094,4.648531174381399e-05,0.08148619395196909,0.08152150076993464,3.380747517902647e-05,15.461000000000002,0.058898217290508904,4.0632,0.01442081828468838,0.8335701193269084,0.010045171920507304,4.063845549189373,0.01442081828468838,0.8337025544801907,0.010046629447337814,-0.22115278571428615,0.3026742864842208,0.08152150076993464,3.380747517902647e-05,0.10064808629400117,0.002207604226595821,1.0291424533373785,1.0293059604442156,0.012605865993163488,0.003683716372681481,0.012055624874855475,1.9853529658561003e-05,2.2471582753958712e-06,2.1301720529460818e-05,2.3974124619880803e-06,1953.2800984179942
14,5340,5336.798,0.37984523164056044,-0.097975,1e-05,7.672255,1.1180339887770796e-05,26.929455000000004,1.4999999999432134e-05,0.005287019949879254,0.08152150076993464,3.380747517902647e-05,0.08888751035042766,0.08907426056442572,2.6357430677264507e-05,,,4.1089,0.021374985380111775,0.8429455265067763,0.01065207942913453,4.103807369031849,0.021374985380111775,0.8419007674489379,0.010641115628674242,-0.24338118421052676,0.3324554447749525,0.08907426056442572,2.6357430677264507e-05,0.10895687570119773,0.002474516740763004,1.0311027043334249,1.0298247405077217,0.013273688580153884,0.0054176233722537225,0.012117762397378396,1.166507469403998e-05,1.3231229387029385e-06,3.0330123050425144e-05,3.4629608109773423e-06,1402.877595491518
15,4600,4602.4948,0.6166251373405796,-0.081065,1e-05,7.732915,1.1180339887671495e-05,27.069335000000002,1e-05,-0.010258257089877746,0.08907426056442572,2.6357430677264507e-05,0.07430726815736888,0.07421905127458062,2.9601254370750097e-05,,,4.0102,0.01284367548640171,0.822697108811963,0.009833989301054991,4.024131001355788,0.01284367548640171,0.8255550696464007,0.009865702935310456,-0.19958407894736901,0.27380313022194963,0.07421905127458062,2.9601254370750097e-05,0.09246598542897048,0.001994354701600311,1.0249591926799118,1.0285197901321212,0.012419357663877936,0.0033052215463377148,0.011971464209233076,2.9341944219131616e-05,3.3057241566563234e-06,3.583217746138065e-05,4.080418870685451e-06,1131.1017468544285
16,3850,3863.2886999999996,0.4589993572978052,-0.06542,1e-05,7.787965,1.1180339887274289e-05,27.1976,1e-05,-0.0030010889327330504,0.07421905127458062,2.9601254370750097e-05,0.06044675763208113,0.060404151733782635,2.9302731889331873e-05,,,3.9442999999999997,0.01866038584810084,0.8091776485679082,0.010074413349064408,3.947504651245431,0.01866038584810084,0.8098350864299516,0.010081417085650466,-0.16021301282051342,0.22061716455429606,0.060404151733782635,2.9302731889331873e-05,0.07657257481825973,0.0016551523185487688,1.0257708163721533,1.0266042311033383,0.01288265370413869,0.0048744477613798095,0.011924870040480007,3.8178777245823684e-05,4.3085891487548645e-06,2.6052128115105063e-05,2.9613773865864382e-06,1505.0103343064711
17,3120,3122.8043,0.09587809968902444,-0.05085,1e-05,7.83846,1e-05,27.31622,1e-05,-0.002694113149494792,0.060404151733782635,2.9302731889331873e-05,0.04747704479258292,0.0472230327808061,1.840792960064819e-05,,,3.8708,0.009947864092356736,0.7940990396462386,0.009370026006232515,3.8743490506343434,0.009947864092356736,0.7948271314361498,0.00937820980549479,-0.12426331081081153,0.17148634359161763,0.0472230327808061,1.840792960064819e-05,0.060880528345308035,0.0012640120690202744,1.0237624787159947,1.024701143817396,0.012148796369559988,0.0026381361908537834,0.011858899218204929,3.129456922373708e-05,3.5221072377269076e-06,3.2507694314335096e-05,3.6580962145550605e-06,1161.604018174695
18,2380,2380.0343000000003,0.03209999999999127,-0.03714,1e-05,7.8851474999999995,1e-05,27.426825,1e-05,-0.0044050967084552015,0.0472230327808061,1.840792960064819e-05,0.03456905170850537,0.03459318875626391,2.5026220865446433e-05,,,3.7848999999999995,0.010520931517693687,0.7764765565663553,0.009198931783931564,3.804590731702983,0.010520931517693687,0.7805161326579309,0.009244160488685049,-0.09128711538461562,0.12588030414087953,0.03459318875626391,2.5026220865446433e-05,0.04533616295089423,0.0009367070055779764,1.0176126850886877,1.022906758474942,0.01209323095435343,0.002832771218258519,0.011756770055603626,2.8069885999633508e-05,3.1587635145668448e-06,2.0498523170695316e-05,2.3402729470688368e-06,1761.2826384669775
19,1630,1634.0703999999998,0.042799999999988354,-0.02422,1.0000000000001327e-05,7.9286175,1e-05,27.5303,1e-05,-0.003577117606779329,0.03459318875626391,2.5026220865446433e-05,0.02273655743165627,0.02280905831215046,1.8042532962701384e-05,,,3.7253999999999996,0.012682271089990229,0.7642700636297657,0.009178056140079037,3.738184560172646,0.012682271089990229,0.7668928307464852,0.009207025645656976,-0.060735131578947894,0.08354418989109835,0.02280905831215046,1.8042532962701384e-05,0.030361342393752815,0.0006317219442156383,1.0173267464881521,1.0208179353553126,0.012233883319667684,0.003465494233296577,0.011732785295837957,2.314285271775403e-05,2.606205170804364e-06,1.7638080123029325e-05,2.0189749194616366e-06,1983.0666800067245
20,890,887.1776,0.04279999999998836,-0.012045,1e-05,7.969165,1.1180339887671495e-05,27.62749,1e-05,-0.002586547185605826,0.02280905831215046,1.8042532962701384e-05,0.011507195759755737,0.011555279797248963,2.1382547367609954e-05,,,3.6625,0.009340770846134603,0.7513660568110854,0.008862600164274894,3.6753624787495203,0.009340770846134603,0.7540048090128173,0.008892272386948149,-0.03235671052631669,0.04391199032356565,0.011555279797248963,2.1382547367609954e-05,0.01561525331247919,0.0003331720636561403,1.0153602087849938,1.018926092500654,0.011981285884583694,0.0025900899963513476,0.011697976118069534,1.7969950540886694e-05,2.0218054712323017e-06,1.5087988742541634e-05,1.728070945744393e-06,2240.612339975484
21,690,688.0959999999999,1.1368683772161603e-13,-0.0089,1e-05,7.9795050000000005,1e-05,27.652409999999996,1e-05,-0.0005224393520200867,0.011555279797248963,2.1382547367609954e-05,0.008490076284293853,0.008610037082877248,1.291968806819952e-05,,,3.6478,0.011391224692718537,0.7483503350267514,0.008929444146374166,3.6592368037499803,0.011391224692718537,0.7506966083745042,0.008955525561694752,-0.025167777777778615,0.03377781486065586,0.008610037082877248,1.291968806819952e-05,0.011681686772487645,0.0002587616026788604,1.015325965001228,1.018509276532556,0.012117906693071324,0.0031710119773144516,0.01169565499070963,1.425278470895268e-05,1.6218003552239856e-06,1.339524782442328e-05,1.5360447928560063e-06,2503.5374553265233
22,500,488.90740000000005,0.04280000000003383,-0.0058200000000000005,1e-05,7.9896825,1e-05,27.67693,1e-05,-0.0006307065684660896,0.008610037082877248,1.291968806819952e-05,0.005626702549659237,0.005763418320413272,2.3203451133711037e-05,,,3.6422,0.012302845199383714,0.7472014886327194,0.008967506945760307,3.6433633477983522,0.012302845199383714,0.7474401507618519,0.00897014437327987,-0.018059166666667386,0.023822584987080658,0.005763418320413272,2.3203451133711037e-05,0.007849847837010081,0.00018460341253797834,1.0176977729656937,1.0180228337705828,0.01221531705938516,0.0034378759396001555,0.011721560471422926,1.4235279585564862e-05,1.623698753763627e-06,1.2786826493362376e-05,1.4500198693519727e-06,2614.614202853882
23,290,289.87840000000006,0.031799999999998364,-0.0028250000000000003,1e-05,7.99962,1e-05,27.701009999999997,1e-05,-0.0011592264023413356,0.005763418320413272,2.3203451133711037e-05,0.0027877058281997004,0.0028691754209526944,1.535124000725591e-05,,,3.6053000000000006,0.014581152217846059,0.7396314115006161,0.009027804599691554,3.6277632530840016,0.014581152217846059,0.7442397735191486,0.009077894827510279,-0.01111950000000047,0.013988675420953164,0.0028691754209526944,1.535124000725591e-05,0.0039233185109422706,0.00011147844758308147,1.0113740647656868,1.0176755519039073,0.012345175650942666,0.004090486008713196,0.01164780176965376,1.3103134591424614e-05,1.4972062589355348e-06,1.3310834137194632e-05,1.5391488022500393e-06,2461.049525404333
