,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],,,,,,,
57900.0334,394860,0.09538773,0.972466006,,,,,,,
58200.0334,395160,0.09538761,0.972466006,,,,,,,
58500.0334,395520,0.09538743,0.972466006,,,,,,,
58800.0334,395760,0.09538731,0.972466006,,,,,,,
59100.0334,396060,0.095387188,0.972466006,,,,,,,
59400.0334,396420,0.09538701,0.972466006,,,,,,,
59700.0334,396660,0.09538689,0.972466006,,,,,,,
60000.0334,397020,0.09538671,0.972466006,,,,,,,
60300.0334,397320,0.09538659,0.972466006,,,,,,,
60600.0334,397560,0.09538647,0.972466006,,,,,,,
60900.0334,397920,0.095386291,0.972466006,,,,,,,
61200.0334,398220,0.095386171,0.972466006,,,,,,,
61500.0334,398460,0.095386051,0.972466006,,,,,,,
61800.0334,398820,0.095385871,0.972466006,,,,,,,
62100.0334,399060,0.095385749,0.972466006,,,,,,,
62400.0334,399360,0.09538563,0.972466006,,,,,,,
62700.0334,399720,0.095385451,0.972466006,,,,,,,
63000.0334,399960,0.095385333,0.972466006,,,,,,,
63300.0334,400260,0.095385212,0.972466006,,,,,,,
63600.0334,400620,0.095385033,0.972466006,,,,,,,
63900.0334,400860,0.095384912,0.972466006,,,,,,,
64200.0334,401220,0.095384733,0.972466006,,,,,,,
64500.0334,401520,0.095384612,0.972466006,,,,,,,
64800.0334,401760,0.095384492,0.972466006,,,,,,,
65100.0334,402120,0.095384311,0.972466006,,,,,,,
65400.0334,402420,0.095384194,0.972466006,,,,,,,
65700.0334,402660,0.095384074,0.972466006,,,,,,,
66000.0334,403020,0.095383894,0.972466006,,,,,,,
66300.0334,403260,0.095383774,0.972466006,,,,,,,
66600.0334,403560,0.095383653,0.972466006,,,,,,,
66900.0334,403920,0.095383474,0.972466006,,,,,,,
67200.0334,404160,0.095383353,0.972466006,,,,,,,
67500.0334,404460,0.095383234,0.972466006,,,,,,,
67800.0334,404820,0.095383055,0.972466006,,,,,,,
68100.0334,405060,0.095382935,0.972466006,,,,,,,
68400.0334,405420,0.095382755,0.972466006,,,,,,,
68700.0334,405720,0.095382635,0.972466006,,,,,,,
69000.0334,405960,0.095382514,0.972466006,,,,,,,
69300.0334,406320,0.095382335,0.972466006,,,,,,,
69600.0334,406620,0.095382214,0.972466006,,,,,,,
69900.0334,406860,0.095382095,0.972466006,,,,,,,
70200.0334,407220,0.095381913,0.972466006,,,,,,,
70500.0334,407460,0.095381795,0.972466006,,,,,,,
70800.0334,407760,0.095381676,0.972466006,,,,,,,
71100.0334,408120,0.095381496,0.972466006,,,,,,,
71400.0334,408360,0.095381376,0.972466006,,,,,,,
71700.0334,408600,0.095381255,0.972466006,,,,,,,
72000.0334,409020,0.095381076,0.972466006,,,,,,,
72300.0334,409260,0.095380955,0.972466006,,,,,,,
72600.0334,409620,0.095380776,0.972466006,,,,,,,
72900.0334,409920,0.095380656,0.972466006,,,,,,,
73200.0334,410160,0.095380536,0.972466006,,,,,,,
73500.0334,410520,0.095380357,0.972466006,,,,,,,
73800.0334,410820,0.095380237,0.972466006,,,,,,,
74100.0334,411060,0.095380117,0.972466006,,,,,,,
74400.0334,411420,0.095379937,0.972466006,,,,,,,
74700.0334,411660,0.095379817,0.972466006,,,,,,,
75000.0334,411960,0.095379699,0.972466006,,,,,,,
75300.0334,412320,0.095379517,0.972466006,,,,,,,
75600.0334,412560,0.095379399,0.972466006,,,,,,,
75900.0334,412800,0.095379278,0.972466006,,,,,,,
76200.0334,413220,0.095271236,0.972466006,,,,,,,
76500.0334,413460,0.095273101,0.972466006,,,,,,,
76800.0334,413820,0.095376888,0.972466006,,,,,,,
77100.0334,414120,0.095270818,0.972466006,,,,,,,
77400.0334,414360,0.095270697,0.972466006,,,,,,,
77700.0334,414720,0.095378378,0.972466006,,,,,,,
78000.0334,415020,0.09537826,0.972466006,,,,,,,
78300.0334,415260,0.095378139,0.972466006,,,,,,,
78600.0334,415620,0.09537796,0.972466006,,,,,,,
78900.0334,415860,0.095377839,0.972466006,,,,,,,
79200.0334,416160,0.095377719,0.972466006,,,,,,,
79500.0334,416520,0.095377539,0.972466006,,,,,,,
79800.0334,416760,0.09537742,0.972466006,,,,,,,
80100.0334,417000,0.0953773,0.972466006,,,,,,,
80400.0334,417420,0.09537712,0.972466006,,,,,,,
80700.0334,417660,0.095377001,0.972466006,,,,,,,
81000.0334,418020,0.095376821,0.972466006,,,,,,,
81300.0334,418320,0.09526884,0.972466006,,,,,,,
81600.0334,418560,0.095268721,0.972466006,,,,,,,
81900.0334,418920,0.095268541,0.972466006,,,,,,,
82200.0334,419220,0.095268422,0.972466006,,,,,,,
82500.0334,419460,0.095268301,0.972466006,,,,,,,
82800.0334,419820,0.095268122,0.972466006,,,,,,,
83100.0334,420060,0.095268001,0.972466006,,,,,,,
83400.0334,420360,0.095267883,0.972466006,,,,,,,
83700.0334,420720,0.095267701,0.972466006,,,,,,,
84000.0334,420960,0.095267583,0.972466006,,,,,,,
84300.0334,421200,0.095267463,0.972466006,,,,,,,
84600.0334,421620,0.095267283,0.972466006,,,,,,,
84900.0334,421860,0.095267163,0.972466006,,,,,,,
85200.0334,422220,0.095266984,0.972466006,,,,,,,
