*.txt,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL]
28200.0334,10182,0.001695112,0.984926618
28500.0334,10182,0.001695112,0.984926618
28800.0334,10182,0.001695112,0.984926618
29100.0334,10182,0.001695112,0.984926618
29400.0334,10182,0.001695112,0.984926618
29700.0334,10182,0.001695112,0.984926618
30000.0334,10182,0.001695112,0.984926618
30300.0334,10182,0.001695112,0.984926618
30600.0334,10182,0.001695112,0.984926618
30900.0334,10182,0.001695112,0.984926618
31200.0334,10182,0.001695112,0.984926618
31500.0334,10182,0.001695112,0.984926618
31800.0334,10182,0.001695112,0.984926618
32100.0334,10182,0.001695112,0.984926618
32400.0334,10182,0.001695112,0.984926618
32700.0334,10182,0.001695112,0.984926618
33000.0334,10182,0.001695112,0.984926618
33300.0334,10182,0.001695112,0.984926618
33600.0334,10182,0.001695112,0.984926618
33900.0334,10182,0.001695112,0.984926618
34200.0334,10182,0.001695112,0.984926618
34500.0334,10182,0.001695112,0.984926618
34800.0334,10182,0.001695112,0.984926618
35100.0334,10182,0.001695112,0.984926618
35400.0334,10182,0.001695112,0.984926618
35700.0334,10182,0.001695112,0.984926618
36000.0334,10182,0.001695112,0.984926618
36300.0334,10182,0.001695112,0.984926618
36600.0334,10182,0.001695112,0.984926618
36900.0334,10182,0.001695112,0.984926618
37200.0334,10182,0.001695112,0.984926618
37500.0334,10182,0.001695112,0.984926618
37800.0334,10182,0.001695112,0.984926618
38100.0334,10182,0.001695112,0.984926618
38400.0334,10182,0.001695112,0.984926618
38700.0334,10182,0.001695112,0.984926618
39000.0334,10182,0.001695112,0.984926618
39300.0334,10182,0.001695112,0.984926618
39600.0334,10182,0.001695112,0.984926618
39900.0334,10182,0.001695112,0.984926618
40200.0334,10182,0.001695112,0.984926618
40500.0334,10182,0.001695112,0.984926618
40800.0334,10182,0.001695112,0.984926618
41100.0334,10182,0.001695112,0.984926618
41400.0334,10182,0.001695112,0.984926618
41700.0334,10182,0.001695112,0.984926618
42000.0334,10182,0.001695112,0.984926618
42300.0334,10182,0.001695112,0.984926618
42600.0334,10182,0.001695112,0.984926618
42900.0334,10182,0.001695112,0.984926618
43200.0334,10182,0.001695112,0.984926618
43500.0334,10182,0.001695112,0.984926618
43800.0334,10182,0.001695112,0.984926618
44100.0334,10182,0.001695112,0.984926618
44400.0334,10182,0.001695112,0.984926618
44700.0334,10182,0.001695112,0.984926618
45000.0334,10182,0.001695112,0.984926618
45300.0334,10182,0.001695112,0.984926618
45600.0334,10182,0.001695112,0.984926618
45900.0334,10182,0.001695112,0.984926618
46200.0334,10182,0.001695112,0.984926618
46500.0334,10182,0.001695112,0.984926618
46800.0334,10182,0.001695112,0.984926618
47100.0334,10182,0.001695112,0.984926618
47400.0334,10182,0.001695112,0.984926618
47700.0334,10182,0.001695112,0.984926618
48000.0334,10182,0.001695112,0.984926618
48300.0334,10182,0.001695112,0.984926618
48600.0334,10182,0.001695112,0.984926618
48900.0334,10182,0.001695112,0.984926618
49200.0334,10182,0.001695112,0.984926618
49500.0334,10182,0.001695112,0.984926618
