,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m]
19500.0333,442380,0.13138001,0.963353179,12.92
19800.0333,442740,0.131189286,0.963353179,12.95
20100.0333,442980,0.13117221,0.963353179,12.87
20400.0333,443280,0.131274873,0.963353179,12.88
20700.0333,443640,0.131170852,0.963353179,12.94
21000.0333,443880,0.131170309,0.963353179,12.87
21300.0333,444120,0.131169766,0.963353179,12.86
21600.0333,444540,0.131168952,0.963353179,12.94
21900.0333,444780,0.131168409,0.963353179,12.88
22200.0333,445140,0.131167595,0.963353179,12.96
22500.0333,445440,0.131063872,0.963353179,12.87
22800.0333,445680,0.131063329,0.963353179,12.9
23100.0333,445920,0.131097045,0.963353179,12.91
23400.0333,446520,0.157144149,0.956402877,12.16
23700.0333,446640,0.1589454,0.956402877,11.25
24000.0333,446940,0.158816278,0.956402877,11.29
24300.0333,447180,0.158815476,0.956402877,11.29
24600.0333,447540,0.158301721,0.956402877,11.29
24900.0333,447780,0.158307727,0.956402877,11.33
25200.0333,448080,0.157916487,0.956402877,11.31
25500.0333,448440,0.158170969,0.956402877,11.27
25800.0333,448680,0.158298121,0.956402877,11.31
26100.0333,448920,0.15816937,0.956402877,11.31
26400.0333,449340,0.158669156,0.956402877,11.29
26700.0333,449580,0.158679616,0.956402877,11.29
27000.0333,449940,0.158729317,0.956402877,11.25
27300.0333,450240,0.158934168,0.956402877,11.3
27600.0333,450480,0.158805052,0.956402877,11.32
27900.0333,450840,0.159173426,0.956402877,11.31
28200.0333,451080,0.1591882,0.956402877,11.28
28500.0333,451380,0.159058943,0.956402877,11.28
28800.0333,451740,0.159186191,0.956402877,11.27
29100.0333,451980,0.158928553,0.956402877,11.29
29400.0333,452220,0.159056132,0.956402877,11.29
29700.0333,452640,0.159054928,0.956402877,11.32
30000.0333,452880,0.159054124,0.956402877,11.27
30300.0333,453240,0.159309895,0.956402877,11.19
30600.0333,453540,0.159180571,0.956402877,11.27
30900.0333,453780,0.159179769,0.956402877,11.23
31200.0333,454140,0.159435674,0.956402877,11.28
31500.0333,454380,0.159177761,0.956402877,11.28
31800.0333,454680,0.159176955,0.956402877,11.24
32100.0333,455040,0.159304271,0.956402877,11.31
32400.0333,455280,0.15917495,0.956402877,11.28
32700.0333,455400,0.159412642,0.956402877,11.26
33000.0333,455400,0.159412642,0.956402877,10.49
33300.0333,456420,0.186422374,0.951892844,9.823
33600.0333,456540,0.187786935,0.951892844,9.804
33900.0333,456780,0.188419912,0.951892844,9.832
34200.0333,457080,0.188078956,0.951892844,9.798
34500.0333,457440,0.187892878,0.951892844,9.82
34800.0333,457680,0.188002392,0.951892844,9.786
35100.0333,457920,0.188036629,0.951892844,9.796
35400.0333,458340,0.18814292,0.951892844,9.801
35700.0333,458580,0.188303036,0.951892844,9.805
36000.0333,458940,0.188169353,0.951892844,9.797
36300.0333,459240,0.188302644,0.951892844,9.771
36600.0333,459480,0.188169039,0.951892844,9.776
36900.0333,459840,0.188168802,0.951892844,9.82
37200.0333,460080,0.188168644,0.951892844,9.788
37500.0333,460380,0.188301937,0.951892844,9.817
37800.0333,460740,0.188301701,0.951892844,9.799
38100.0333,460980,0.188168097,0.951892844,9.811
38400.0333,461280,0.18816794,0.951892844,9.848
38700.0333,461640,0.188167703,0.951892844,9.807
39000.0333,461880,0.188300995,0.951892844,9.803
39300.0333,462120,0.188434385,0.951892844,9.779
39600.0333,462540,0.188300602,0.951892844,9.787
39900.0333,462780,0.188300445,0.951892844,9.807
40200.0333,463140,0.188166761,0.951892844,9.815
40500.0333,463440,0.188166607,0.951892844,9.791
40800.0333,463680,0.18816645,0.951892844,9.818
41100.0333,464040,0.188166212,0.951892844,9.812
41400.0333,464280,0.188299502,0.951892844,9.794
41700.0333,464580,0.188432894,0.951892844,9.806
42000.0333,464940,0.188165665,0.951892844,9.804
42300.0333,465180,0.188165509,0.951892844,9.815
42600.0333,465480,0.188165352,0.951892844,9.816
42900.0333,465840,0.188165114,0.951892844,9.822
43200.0333,466080,0.188164957,0.951892844,9.787
43500.0333,466440,0.188031374,0.951892844,9.823
43800.0333,466740,0.187773637,0.951892844,9.809
44100.0333,466980,0.18776466,0.951892844,9.868
44400.0333,467340,0.187631363,0.951892844,9.791
44700.0333,467640,0.187631211,0.951892844,9.814
45000.0333,467880,0.187764112,0.951892844,9.827
45300.0333,468240,0.187763877,0.951892844,9.825
45600.0333,468480,0.18776372,0.951892844,9.816
45900.0333,468780,0.187831856,0.951892844,9.795
46200.0333,469140,0.18793015,0.951892844,9.827
46500.0333,469380,0.187896325,0.951892844,9.817
46800.0333,469620,0.187948405,0.951892844,9.813
47100.0333,470040,0.187945803,0.951892844,9.829
47400.0333,470280,0.187762622,0.951892844,9.827
47700.0333,470640,0.188028788,0.951892844,9.828
48000.0333,470940,0.187961465,0.951892844,9.835
48300.0333,471180,0.187762076,0.951892844,9.802
48600.0333,471540,0.187761841,0.951892844,9.825
48900.0333,471840,0.187761684,0.951892844,9.824
49200.0333,472080,0.187761527,0.951892844,9.809
49500.0333,472440,0.187761295,0.951892844,9.83
49800.0333,472680,0.187761136,0.951892844,9.802
50100.0333,472980,0.187760981,0.951892844,9.821
50400.0333,473340,0.18806942,0.951892844,9.818
50700.0333,473580,0.188160328,0.951892844,9.824
51000.0333,473820,0.188160171,0.951892844,9.821
51300.0333,474240,0.188159937,0.951892844,9.835
51600.0333,474480,0.188159777,0.951892844,9.802
51900.0333,474840,0.188159543,0.951892844,9.815
52200.0333,475140,0.188159383,0.951892844,9.842
52500.0333,475380,0.188159229,0.951892844,9.799
52800.0333,475740,0.188158995,0.951892844,9.799
53100.0333,475980,0.188158835,0.951892844,9.806
53400.0333,476280,0.188158682,0.951892844,9.815
53700.0333,476640,0.188158441,0.951892844,9.826
54000.0333,476880,0.188158288,0.951892844,9.806
54300.0333,477180,0.188158131,0.951892844,9.829
54600.0333,477540,0.188157894,0.951892844,9.805
54900.0333,477780,0.18815774,0.951892844,9.837
55200.0333,478020,0.188157583,0.951892844,9.799
55500.0333,478440,0.188024004,0.951892844,9.83
55800.0333,478680,0.187890605,0.951892844,9.827
56100.0333,479040,0.187757222,0.951892844,9.813
56400.0333,479340,0.187624014,0.951892844,9.798
56700.0333,479580,0.187756909,0.951892844,9.812
57000.0333,479940,0.187756673,0.951892844,9.841
57300.0333,480180,0.187623465,0.951892844,9.801
57600.0333,480480,0.187623306,0.951892844,9.817
57900.0333,480840,0.187623074,0.951892844,9.798
58200.0333,481080,0.187622919,0.951892844,9.811
58500.0333,481380,0.187622762,0.951892844,9.831
58800.0333,481740,0.187622526,0.951892844,9.809
59100.0333,481980,0.187622372,0.951892844,9.826
59400.0333,482220,0.187768202,0.951892844,9.823
59700.0333,482640,0.188021418,0.951892844,9.814
60000.0333,482880,0.188021262,0.951892844,9.818
60300.0333,483240,0.188154366,0.951892844,9.824
60600.0333,483540,0.188020868,0.951892844,9.813
60900.0333,483780,0.188020711,0.951892844,9.827
61200.0333,484140,0.188020477,0.951892844,9.811
61500.0333,484380,0.187875355,0.951892844,9.837
61800.0333,484680,0.187620728,0.951892844,9.862
62100.0333,485040,0.187354675,0.951892844,9.817
62400.0333,485280,0.187354518,0.951892844,9.838
62700.0333,485580,0.187354362,0.951892844,9.863
63000.0333,485940,0.187356541,0.951892844,9.848
63300.0333,486180,0.187598822,0.951892844,9.822
63600.0333,486540,0.187619555,0.951892844,9.811
63900.0333,486840,0.187619399,0.951892844,9.837
64200.0333,487080,0.187619243,0.951892844,9.847
64500.0333,487440,0.187486052,0.951892844,9.809
64800.0333,487740,0.187353035,0.951892844,9.842
65100.0333,487980,0.187432258,0.951892844,9.817
65400.0333,488340,0.187242487,0.951892844,9.83
65700.0333,488580,0.18708704,0.951892844,9.831
66000.0333,488880,0.187282568,0.951892844,9.841
66300.0333,489240,0.187258089,0.951892844,9.817
66600.0333,489480,0.187219171,0.951892844,9.832
66900.0333,489720,0.187398779,0.951892844,9.837
67200.0333,490140,0.187539128,0.951892844,9.827
67500.0333,490380,0.187484254,0.951892844,9.83
67800.0333,490740,0.187484019,0.951892844,9.851
68100.0333,491040,0.187616815,0.951892844,9.829
68400.0333,491280,0.187483706,0.951892844,9.826
68700.0333,491640,0.187350613,0.951892844,9.83
69000.0333,491940,0.187350455,0.951892844,9.842
69300.0333,492180,0.187328309,0.951892844,9.858
69600.0333,492540,0.18713737,0.951892844,9.834
69900.0333,492780,0.18734991,0.951892844,9.84
70200.0333,493080,0.187476634,0.951892844,9.823
70500.0333,493440,0.187216751,0.951892844,9.818
70800.0333,493680,0.187349361,0.951892844,9.845
71100.0333,493920,0.187482066,0.951892844,9.829
71400.0333,494340,0.187216205,0.951892844,9.842
71700.0333,494580,0.187478894,0.951892844,9.845
72000.0333,494940,0.187586006,0.951892844,9.833
72300.0333,495240,0.187481284,0.951892844,9.811
72600.0333,495480,0.187481128,0.951892844,9.837
72900.0333,495840,0.187734534,0.951892844,9.828
73200.0333,496080,0.187492249,0.951892844,9.821
73500.0333,496380,0.187480579,0.951892844,9.829
73800.0333,496740,0.187875774,0.951892844,9.843
74100.0333,496980,0.187746183,0.951892844,9.824
74400.0333,497280,0.187612982,0.951892844,9.815
74700.0333,497640,0.187745792,0.951892844,9.816
75000.0333,497880,0.187656348,0.951892844,9.85
75300.0333,498120,0.187479485,0.951892844,9.84
75600.0333,498540,0.187479251,0.951892844,9.836
75900.0333,498780,0.187479094,0.951892844,9.832
76200.0333,499140,0.187478859,0.951892844,9.834
76500.0333,499440,0.187611654,0.951892844,9.821
76800.0333,499680,0.187687618,0.951892844,9.851
77100.0333,500040,0.18761126,0.951892844,9.806
77400.0333,500280,0.187611104,0.951892844,9.823
77700.0333,500580,0.187610947,0.951892844,9.812
78000.0333,500940,0.187539122,0.951892844,9.827
78300.0333,501180,0.187610558,0.951892844,9.83
78600.0333,501480,0.187743442,0.951892844,9.835
78900.0333,501840,0.187610165,0.951892844,9.826
79200.0333,502080,0.187610008,0.951892844,9.816
79500.0333,502440,0.187875952,0.951892844,9.84
79800.0333,502740,0.187875796,0.951892844,9.845
80100.0333,502980,0.188008874,0.951892844,9.821
80400.0333,503340,0.187961464,0.951892844,9.826
80700.0333,503640,0.187875249,0.951892844,9.823
81000.0333,503880,0.187875088,0.951892844,9.82
81300.0333,504240,0.188008089,0.951892844,9.822
81600.0333,504480,0.187874695,0.951892844,9.828
81900.0333,504780,0.187874542,0.951892844,9.802
82200.0333,505140,0.187874309,0.951892844,9.824
82500.0333,505380,0.187750173,0.951892844,9.828
82800.0333,505620,0.187607818,0.951892844,9.843
83100.0333,506040,0.187740624,0.951892844,9.813
83400.0333,506280,0.187632898,0.951892844,9.805
83700.0333,506640,0.187474246,0.951892844,9.809
84000.0333,506940,0.187474087,0.951892844,9.848
84300.0333,507180,0.187473934,0.951892844,9.816
84600.0333,507540,0.187473701,0.951892844,9.819
84900.0333,507840,0.187606489,0.951892844,9.823
85200.0333,508080,0.187531316,0.951892844,9.841
85500.0333,508440,0.187446182,0.951892844,9.816
85800.0333,508680,0.187472996,0.951892844,9.833
