Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
52801.1333,52800.0333,178,4.415,4.415,10.848,2.0786,2.038,255,222,0,255,105
53101.1333,53100.0333,179,4.426,4.426,10.869,2.0791,2.038,255,211,0,255,105
53401.1333,53400.0333,180,4.42,4.42,10.856,2.0784,2.038,255,212,0,255,105
53701.1333,53700.0333,181,4.431,4.431,10.876,2.0787,2.038,255,225,0,255,105
54001.1333,54000.0333,182,4.415,4.415,10.849,2.0777,2.038,255,225,0,255,105
54301.1333,54300.0333,183,4.424,4.424,10.864,2.0786,2.038,255,212,0,255,105
54601.1333,54600.0333,184,4.422,4.422,10.861,2.0787,2.038,255,225,0,255,105
54901.1333,54900.0333,185,4.432,4.432,10.877,2.079,2.038,255,224,0,255,105
55201.1333,55200.0333,186,4.425,4.425,10.867,2.0782,2.038,255,234,0,255,105
55501.1333,55500.0333,187,4.426,4.426,10.867,2.0794,2.038,255,210,0,255,105
55801.1333,55800.0333,188,4.429,4.429,10.873,2.0787,2.038,255,220,0,255,105
56101.1333,56100.0333,189,4.422,4.422,10.861,2.0784,2.038,255,237,0,255,105
56401.1333,56400.0333,190,4.428,4.428,10.873,2.0784,2.038,255,217,0,255,105
56701.1333,56700.0333,191,4.428,4.428,10.872,2.0782,2.038,255,212,0,255,105
57001.1333,57000.0333,192,4.43,4.43,10.874,2.0795,2.038,255,239,0,255,105
57301.1333,57300.0333,193,4.421,4.421,10.858,2.0788,2.038,255,230,0,255,105
57601.1333,57600.0333,194,4.429,4.429,10.874,2.0787,2.038,255,233,0,255,105
57901.1333,57900.0333,195,4.428,4.428,10.872,2.0787,2.038,255,210,0,255,105
58201.1333,58200.0333,196,4.431,4.431,10.877,2.0787,2.038,255,212,0,255,105
58501.1333,58500.0333,197,4.436,4.436,10.887,2.0787,2.038,255,211,0,255,105
58801.1333,58800.0333,198,4.423,4.423,10.863,2.0785,2.038,255,211,0,255,105
