Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data            Data            Data            Data            Data            Data            Data            Data,Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge            IFT             Diam            LYb             LYBeta          LYErr           ApexX           ApexY           A.R.,Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
14401.1667,14400.0334,50,4.41,4.41,10.811,2.0713,2.0466,255,225,0,255,105,14401.1667,14400.0334,50,4.41,4.41,10.811,2.0713,2.0466,255,225,0,255,105
14701.1667,14700.0334,51,4.406,4.406,10.802,2.0712,2.0466,255,213,0,255,105,14701.1667,14700.0334,51,4.406,4.406,10.802,2.0712,2.0466,255,213,0,255,105
15001.1667,15000.0334,52,4.405,4.405,10.801,2.0713,2.0466,255,210,0,255,105,15001.1667,15000.0334,52,4.405,4.405,10.801,2.0713,2.0466,255,210,0,255,105
15301.1667,15300.0334,53,4.376,4.376,10.778,2.0713,2.0466,255,239,0,255,105,15301.1667,15300.0334,53,4.376,4.376,10.778,2.0713,2.0466,255,239,0,255,105
15601.1667,15600.0334,54,4.416,4.416,10.823,2.0711,2.0466,255,232,0,255,105,15601.1667,15600.0334,54,4.416,4.416,10.823,2.0711,2.0466,255,232,0,255,105
15901.1667,15900.0334,55,4.41,4.41,10.812,2.0709,2.0466,255,206,0,255,105,15901.1667,15900.0334,55,4.41,4.41,10.812,2.0709,2.0466,255,206,0,255,105
16201.1667,16200.0334,56,4.383,4.383,10.787,2.0713,2.0466,255,202,0,255,105,16201.1667,16200.0334,56,4.383,4.383,10.787,2.0713,2.0466,255,202,0,255,105
16501.1667,16500.0334,57,4.427,4.427,10.843,2.0711,2.0466,255,226,0,255,105,16501.1667,16500.0334,57,4.427,4.427,10.843,2.0711,2.0466,255,226,0,255,105
16801.1667,16800.0334,58,4.361,4.361,10.746,2.0714,2.038,255,221,0,255,105,16801.1667,16800.0334,58,4.361,4.361,10.746,2.0714,2.038,255,221,0,255,105
17101.1667,17100.0334,59,4.404,4.404,10.799,2.0711,2.038,255,211,0,255,105,17101.1667,17100.0334,59,4.404,4.404,10.799,2.0711,2.038,255,211,0,255,105
