,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,,White,Edge
53101.1667,53100.0334,179,3.586,3.586,9.2006,2.0396,2.0124,255,205,0,255,105
53401.1667,53400.0334,180,3.579,3.579,9.1871,2.0397,2.0124,255,205,0,255,105
53701.1667,53700.0334,181,3.586,3.586,9.1995,2.0405,2.0124,255,201,0,255,105
54001.1667,54000.0334,182,3.583,3.583,9.1949,2.0396,2.0124,255,207,0,255,105
54301.1667,54300.0334,183,3.585,3.585,9.1988,2.0402,2.0124,255,193,0,255,105
54601.1667,54600.0334,184,3.584,3.584,9.196,2.0403,2.0124,255,190,0,255,105
54901.1667,54900.0334,185,3.579,3.579,9.1868,2.0403,2.0124,255,195,0,255,105
55201.1667,55200.0334,186,3.591,3.591,9.2091,2.0401,2.0124,255,223,0,255,105
55501.1667,55500.0334,187,3.585,3.585,9.1986,2.0403,2.0124,255,208,0,255,105
55801.1667,55800.0334,188,3.589,3.589,9.2068,2.0402,2.0124,255,191,0,255,105
56101.1667,56100.0334,189,3.588,3.588,9.2033,2.0398,2.0124,255,191,0,255,105
56401.1667,56400.0334,190,3.579,3.579,9.1876,2.0401,2.0124,255,215,0,255,105
56701.1667,56700.0334,191,3.575,3.575,9.1787,2.0401,2.0124,255,190,0,255,105
57001.1667,57000.0334,192,3.583,3.583,9.1932,2.0397,2.0124,255,192,0,255,105
57301.1667,57300.0334,193,3.587,3.587,9.203,2.0402,2.0124,255,214,0,255,105
57601.1667,57600.0334,194,3.579,3.579,9.1871,2.04,2.0124,255,206,0,255,105
57901.1667,57900.0334,195,3.582,3.582,9.1926,2.0399,2.0124,255,220,0,255,105
58201.1667,58200.0334,196,3.592,3.592,9.2117,2.0402,2.0124,255,217,0,255,105
58501.1667,58500.0334,197,3.581,3.581,9.19,2.0403,2.0124,255,211,0,255,105
58801.1667,58800.0334,198,3.587,3.587,9.2016,2.0397,2.0124,255,190,0,255,105
59101.1667,59100.0334,199,3.589,3.589,9.2063,2.0402,2.0124,255,195,0,255,105
59401.1667,59400.0334,200,3.594,3.594,9.214,2.0403,2.0124,255,206,0,255,105
59701.1667,59700.0334,201,3.603,3.603,9.2318,2.0402,2.0124,255,208,0,255,105
60001.1667,60000.0334,202,3.614,3.614,9.2558,2.0401,2.0124,255,203,0,255,105
60301.1667,60300.0334,203,3.59,3.59,9.2082,2.0405,2.0124,255,190,0,255,105
60601.1667,60600.0334,204,3.608,3.608,9.2428,2.0402,2.0124,255,196,0,255,105
60901.1667,60900.0334,205,3.594,3.594,9.2162,2.0401,2.0124,255,196,0,255,105
61201.1667,61200.0334,206,3.595,3.595,9.2164,2.0407,2.0124,255,193,0,255,105
61501.1667,61500.0334,207,3.607,3.607,9.2405,2.0402,2.0124,255,201,0,255,105
61801.1667,61800.0334,208,3.599,3.599,9.2258,2.0406,2.0124,255,202,0,255,105
62101.1667,62100.0334,209,3.601,3.601,9.229,2.0405,2.0124,255,195,0,255,105
62401.1667,62400.0334,210,3.598,3.598,9.2221,2.0402,2.0124,255,198,0,255,105
62701.1667,62700.0334,211,3.594,3.594,9.2146,2.0406,2.0124,255,193,0,255,105
63001.1667,63000.0334,212,3.591,3.591,9.2081,2.0412,2.0124,255,189,0,255,105
63301.1667,63300.0334,213,3.589,3.589,9.2053,2.0403,2.0124,255,216,0,255,105
63601.1667,63600.0334,214,3.589,3.589,9.2038,2.0411,2.0124,255,212,0,255,105
63901.1667,63900.0334,215,3.606,3.606,9.2383,2.041,1.9867,255,210,0,255,105
64201.1667,64200.0334,216,3.596,3.596,9.2193,2.0404,1.9867,255,194,0,255,105
64501.1667,64500.0334,217,3.602,3.602,9.2307,2.0409,1.9867,255,207,0,255,105
64801.1667,64800.0334,218,3.593,3.593,9.2132,2.0408,1.9867,255,191,0,255,105
65101.1667,65100.0334,219,3.591,3.591,9.2085,2.041,1.9867,255,193,0,255,105
65401.1667,65400.0334,220,3.59,3.59,9.2066,2.0411,1.9867,255,219,0,255,105
65701.1667,65700.0334,221,3.583,3.583,9.1926,2.0407,1.9867,255,196,0,255,105
66001.1667,66000.0334,222,3.578,3.578,9.183,2.0408,1.9867,255,201,0,255,105
66301.1667,66300.0334,223,3.573,3.573,9.1747,2.0406,1.9867,255,204,0,255,105
66601.1667,66600.0334,224,3.572,3.572,9.1724,2.041,1.9867,255,206,0,255,105
66901.1667,66900.0334,225,3.595,3.595,9.2184,2.0406,2.0038,255,199,0,255,105
67201.1667,67200.0334,226,3.59,3.59,9.2074,2.0409,2.0038,255,205,0,255,105
67501.1667,67500.0334,227,3.575,3.575,9.177,2.0408,2.0038,255,211,0,255,105
67801.1667,67800.0334,228,3.589,3.589,9.2059,2.0415,2.0038,255,220,0,255,105
68101.1667,68100.0334,229,3.583,3.583,9.1923,2.0415,2.0038,255,217,0,255,105
68401.1667,68400.0334,230,3.581,3.581,9.1891,2.0409,2.0038,255,218,0,255,105
68701.1667,68700.0334,231,3.572,3.572,9.1717,2.0421,2.0038,255,198,0,255,105
69001.1667,69000.0334,232,3.577,3.577,9.1827,2.0406,2.0038,255,197,0,255,105
69301.1667,69300.0334,233,3.573,3.573,9.1743,2.0423,2.0038,255,210,0,255,105
69601.1667,69600.0334,234,3.574,3.574,9.176,2.0406,2.0038,255,204,0,255,105
69901.1667,69900.0334,235,3.581,3.581,9.1896,2.0406,2.0038,255,219,0,255,105
70201.1667,70200.0334,236,3.583,3.583,9.1934,2.0401,2.0038,255,201,0,255,105
70501.1667,70500.0334,237,3.577,3.577,9.182,2.0407,2.0038,255,198,0,255,105
70801.1667,70800.0334,238,3.591,3.591,9.2102,2.0405,2.0038,255,195,0,255,105
71101.1667,71100.0334,239,3.571,3.571,9.1706,2.0415,2.0038,255,210,0,255,105
71401.1667,71400.0334,240,3.581,3.581,9.1906,2.0405,2.0038,255,205,0,255,105
71701.1667,71700.0334,241,3.579,3.579,9.1862,2.0411,2.0038,255,190,0,255,105
72001.1667,72000.0334,242,3.58,3.58,9.1866,2.041,2.0038,255,198,0,255,105
72301.1667,72300.0334,243,3.579,3.579,9.1849,2.0408,2.0038,255,191,0,255,105
72601.1667,72600.0334,244,3.575,3.575,9.1776,2.0406,2.0038,255,190,0,255,105
72901.1667,72900.0334,245,3.578,3.578,9.1835,2.0408,2.0038,255,198,0,255,105
73201.1667,73200.0334,246,3.582,3.582,9.192,2.0408,2.0038,255,193,0,255,105
73501.1667,73500.0334,247,3.584,3.584,9.1955,2.0405,2.0038,255,204,0,255,105
73801.1667,73800.0334,248,3.597,3.597,9.2213,2.0409,2.0038,255,197,0,255,105
74101.1667,74100.0334,249,3.588,3.588,9.2031,2.0402,2.0038,255,210,0,255,105
74401.1667,74400.0334,250,3.588,3.588,9.203,2.0406,2.0038,255,191,0,255,105
74701.1667,74700.0334,251,3.59,3.59,9.2082,2.0403,2.0038,255,222,0,255,105
75001.1667,75000.0334,252,3.59,3.59,9.2084,2.0407,2.0038,255,192,0,255,105
75301.1667,75300.0334,253,3.594,3.594,9.2145,2.0404,2.0038,255,199,0,255,105
75601.1667,75600.0334,254,3.59,3.59,9.2073,2.0405,2.0038,255,214,0,255,105
75901.1667,75900.0334,255,3.605,3.605,9.2375,2.0402,2.0038,255,217,0,255,105
76201.1667,76200.0334,256,3.594,3.594,9.2162,2.0408,2.0038,255,197,0,255,105
76501.1667,76500.0334,257,3.589,3.589,9.2058,2.0405,2.0038,255,189,0,255,105
76801.1667,76800.0334,258,3.594,3.594,9.2154,2.0403,2.0038,255,197,0,255,105
77101.1667,77100.0334,259,3.595,3.595,9.2177,2.0404,2.0038,255,197,0,255,105
77401.1667,77400.0334,260,3.609,3.609,9.244,2.0407,2.0038,255,196,0,255,105
77701.1667,77700.0334,261,3.635,3.635,9.2937,2.0409,2.0038,255,191,0,255,105
78001.1667,78000.0334,262,3.632,3.632,9.2882,2.0415,2.0038,255,198,0,255,105
78301.1667,78300.0334,263,3.648,3.648,9.3199,2.0411,2.0038,255,190,0,255,105
78601.1667,78600.0334,264,3.646,3.646,9.315,2.0416,2.0038,255,192,0,255,105
78901.1667,78900.0334,265,3.643,3.643,9.3097,2.0415,2.0038,255,189,0,255,105
79201.1667,79200.0334,266,3.655,3.655,9.3328,2.0416,2.0038,255,197,0,255,105
79501.1667,79500.0334,267,3.641,3.641,9.3046,2.0414,2.0038,255,201,0,255,105
79801.1667,79800.0334,268,3.66,3.66,9.3422,2.0419,2.0038,255,199,0,255,105
80101.1667,80100.0334,269,3.656,3.656,9.3341,2.0417,2.0038,255,205,0,255,105
80401.1667,80400.0334,270,3.648,3.648,9.3189,2.0421,2.0038,255,217,0,255,105
80701.1667,80700.0334,271,3.66,3.66,9.3428,2.0417,2.0038,255,206,0,255,105
81001.1667,81000.0334,272,3.628,3.628,9.2783,2.0419,2.0124,255,210,0,255,105
81301.1667,81300.0334,273,3.627,3.627,9.2774,2.0422,2.0124,255,202,0,255,105
81601.1667,81600.0334,274,3.637,3.637,9.2963,2.0421,2.0209,255,198,0,255,105
81901.1667,81900.0334,275,3.636,3.636,9.2952,2.0423,2.0209,255,192,0,255,105
82201.1667,82200.0334,276,3.617,3.617,9.2567,2.042,2.0038,255,218,0,255,105
82501.1667,82500.0334,277,3.619,3.619,9.2613,2.0417,2.0038,255,197,0,255,105
82801.1667,82800.0334,278,3.623,3.623,9.269,2.0419,2.0038,255,214,0,255,105
83101.1667,83100.0334,279,3.619,3.619,9.2614,2.0418,2.0038,255,224,0,255,105
83401.1667,83400.0334,280,3.619,3.619,9.2613,2.042,2.0038,255,192,0,255,105
83701.1667,83700.0334,281,3.63,3.63,9.2819,2.0425,2.0038,255,198,0,255,105
84001.1667,84000.0334,282,3.627,3.627,9.2766,2.0417,2.0038,255,197,0,255,105
84301.1667,84300.0334,283,3.635,3.635,9.292,2.0422,2.0209,255,205,0,255,105
84601.1667,84600.0334,284,3.629,3.629,9.2808,2.0423,2.0209,255,212,0,255,105
84901.1667,84900.0334,285,3.625,3.625,9.2721,2.0422,2.0209,255,190,0,255,105
85201.1667,85200.0334,286,3.634,3.634,9.2907,2.0419,2.0209,255,199,0,255,105
85501.1667,85500.0334,287,3.629,3.629,9.2808,2.0422,2.0209,255,211,0,255,105
85801.1667,85800.0334,288,3.642,3.642,9.3047,2.0423,2.0209,255,219,0,255,105
86101.1667,86100.0334,289,3.623,3.623,9.2679,2.0417,2.0295,255,190,0,255,105
86401.1667,86400.0334,290,3.614,3.614,9.2507,2.0422,2.0295,255,220,0,255,105
86701.1667,86700.0334,291,3.62,3.62,9.2632,2.042,2.0295,255,213,0,255,105
87001.1667,87000.0334,292,3.612,3.612,9.247,2.0422,2.0295,255,204,0,255,105
87301.1667,87300.0334,293,3.614,3.614,9.2494,2.0431,2.0295,255,216,0,255,105
