Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
66001.1333,66000.0333,112,3.566,18.81,3.566,9.2088,2.0523,2.0515,2.0379,0.924,-0.4449,3.42E-03,2.22E+00,2.60E+00,236,168,19,255,116
66601.1333,66600.0333,113,3.491,18.65,3.491,9.0642,2.0577,2.0458,2.0328,0.9214,-0.446,3.27E-03,2.22E+00,2.60E+00,235,167,20,255,117
67201.1333,67200.0333,114,3.689,18.28,3.689,9.43,2.0671,2.0585,2.0506,0.9258,-0.4595,3.18E-03,2.23E+00,2.64E+00,235,173,20,255,117
67801.1333,67800.0333,115,3.674,17.96,3.674,9.3991,2.0684,2.0589,2.0524,0.9243,-0.4661,3.53E-03,2.24E+00,2.65E+00,232,172,23,255,119
68401.1333,68400.0333,116,3.701,18.18,3.701,9.4559,2.0693,2.0584,2.0519,0.9254,-0.4617,3.57E-03,2.24E+00,2.66E+00,235,169,20,255,117
69001.1333,69000.0333,117,3.743,18.17,3.743,9.5386,2.0693,2.0626,2.0522,0.9254,-0.462,3.44E-03,2.25E+00,2.66E+00,235,174,20,255,117
69601.1333,69600.0333,118,3.606,17.78,3.606,9.2934,2.0605,2.0549,2.0321,0.9162,-0.4626,3.33E-03,2.22E+00,2.65E+00,235,170,20,255,117
70201.1333,70200.0333,119,3.787,17.95,3.787,9.6285,2.0695,2.062,2.0518,0.9242,-0.4664,3.59E-03,2.25E+00,2.68E+00,236,178,19,255,116
70801.1333,70800.0333,120,3.822,17.93,3.822,9.7062,2.0696,2.0616,2.0523,0.9243,-0.4669,3.72E-03,2.25E+00,2.68E+00,237,169,18,255,116
71401.1333,71400.0333,121,3.708,18.07,3.708,9.4689,2.0698,2.0628,2.0517,0.9247,-0.4638,3.84E-03,2.25E+00,2.68E+00,232,180,23,255,119
72001.1333,72000.0333,122,3.724,18.1,3.724,9.4999,2.0697,2.068,2.0522,0.9251,-0.4634,3.89E-03,2.25E+00,2.68E+00,233,172,22,255,118
72601.1333,72600.0333,123,3.646,17.95,3.646,9.342,2.069,2.0656,2.053,0.9244,-0.4665,3.76E-03,2.25E+00,2.69E+00,234,173,21,255,118
73201.1333,73200.0333,124,3.678,18.21,3.678,9.4069,2.0689,2.0613,2.0528,0.9259,-0.4612,3.37E-03,2.25E+00,2.69E+00,236,172,19,255,116
73801.1333,73800.0333,125,3.665,18.14,3.665,9.3811,2.0692,2.051,2.0526,0.9254,-0.4628,3.51E-03,2.25E+00,2.70E+00,235,174,20,255,117
74401.1333,74400.0333,126,3.738,18.13,3.738,9.5249,2.0685,2.0478,2.0526,0.9256,-0.4631,3.55E-03,2.25E+00,2.70E+00,233,172,22,255,118
75001.1333,75000.0333,127,3.65,18.16,3.65,9.3505,2.0679,2.0444,2.0544,0.9262,-0.4628,3.57E-03,2.25E+00,2.70E+00,233,175,22,255,118
75601.1333,75600.0333,128,3.659,18.29,3.659,9.368,2.0681,2.0477,2.0542,0.9267,-0.4602,3.57E-03,2.25E+00,2.70E+00,233,169,22,255,118
76201.1333,76200.0333,129,3.603,17.66,3.603,9.2848,2.0584,2.0388,2.0344,0.9163,-0.4659,3.79E-03,2.23E+00,2.68E+00,233,176,22,255,118
76801.1333,76800.0333,130,3.709,18.24,3.709,9.4658,2.068,2.0447,2.054,0.9266,-0.4612,3.39E-03,2.26E+00,2.70E+00,233,172,22,255,118
77401.1333,77400.0333,131,3.606,17.76,3.606,9.2972,2.0624,2.0503,2.031,0.9156,-0.4626,3.56E-03,2.23E+00,2.68E+00,233,172,22,255,118
78001.1333,78000.0333,132,3.634,17.8,3.634,9.3486,2.0595,2.0377,2.0332,0.9168,-0.4628,3.22E-03,2.23E+00,2.68E+00,234,172,21,255,118
78601.1333,78600.0333,133,3.59,17.69,3.59,9.2639,2.0609,2.0464,2.032,0.9156,-0.4643,4.03E-03,2.23E+00,2.68E+00,235,167,20,255,117
79201.1333,79200.0333,134,3.535,17.85,3.535,9.1505,2.06,2.0437,2.0328,0.9169,-0.4614,3.51E-03,2.23E+00,2.69E+00,233,170,22,255,118
79801.1333,79800.0333,135,3.614,17.8,3.614,9.309,2.06,2.0422,2.033,0.9166,-0.4626,3.52E-03,2.23E+00,2.69E+00,232,168,23,255,119
80401.1333,80400.0333,136,3.574,17.73,3.574,9.2315,2.0603,2.05,2.032,0.9159,-0.4636,3.55E-03,2.23E+00,2.69E+00,233,172,22,255,118
81001.1333,81000.0333,137,3.61,17.6,3.61,9.3015,2.0613,2.0514,2.0319,0.915,-0.4661,3.64E-03,2.23E+00,2.69E+00,234,179,21,255,118
81601.1333,81600.0333,138,3.667,17.7,3.667,9.4222,2.0612,2.0543,2.0317,0.9157,-0.4643,4.08E-03,2.23E+00,2.69E+00,237,180,18,255,116
82201.1333,82200.0333,139,3.626,17.76,3.626,9.3341,2.0608,2.0477,2.0321,0.9161,-0.463,3.75E-03,2.23E+00,2.69E+00,233,170,22,255,118
82801.1333,82800.0333,140,3.599,17.76,3.599,9.2802,2.0609,2.0523,2.0313,0.9159,-0.4629,2.75E-03,2.23E+00,2.70E+00,249,171,6,255,109
83401.1333,83400.0333,141,3.626,16.65,3.626,9.3378,2.0614,2.0488,2.0298,0.9081,-0.4855,3.78E-03,2.23E+00,2.72E+00,235,171,20,255,117
84001.1333,84000.0333,142,3.604,16.61,3.604,9.2908,2.0625,2.0494,2.0305,0.9082,-0.4868,3.63E-03,2.23E+00,2.73E+00,234,169,21,255,118
84601.1333,84600.0333,143,3.63,16.55,3.63,9.3457,2.0631,2.0512,2.0302,0.9077,-0.488,3.89E-03,2.23E+00,2.74E+00,235,174,20,255,117
85201.1333,85200.0333,144,3.715,16.86,3.715,9.4851,2.074,2.0662,2.0485,0.916,-0.4876,3.97E-03,2.26E+00,2.77E+00,233,172,22,255,118
