Run,Graph,Index           Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,Dist,Dist            IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
38401.1333,38400.0333,66,20.73,3.798,9.5979,2.0575,2.0402,2.0861,0.9522,-0.4228,3.13E-03,2.2618,2.5373,247,163,8,255,110
39001.1333,39000.0333,67,20.63,3.792,9.5846,2.0586,2.0402,2.0859,0.9518,-0.4245,3.06E-03,2.2646,2.5351,249,171,6,255,109
39601.1333,39600.0333,68,20.68,3.766,9.5326,2.0582,2.023,2.0856,0.952,-0.4236,3.06E-03,2.2658,2.5451,247,170,8,255,110
40201.1333,40200.0333,69,20.67,3.754,9.5095,2.0581,2.023,2.0867,0.952,-0.4239,3.36E-03,2.2694,2.541,247,164,8,255,110
40801.1333,40800.0333,70,20.64,3.76,9.5213,2.0573,2.023,2.0861,0.9518,-0.4244,3.17E-03,2.2655,2.5428,249,168,6,255,109
41401.1333,41400.0333,71,20.67,3.758,9.5184,2.0582,2.023,2.0865,0.952,-0.424,3.22E-03,2.2685,2.5421,248,172,7,255,109
42001.1333,42000.0333,72,20.65,3.762,9.5263,2.058,2.023,2.086,0.9519,-0.4242,3.56E-03,2.2663,2.5433,250,167,5,255,108
42601.1333,42600.0333,73,20.71,3.759,9.5202,2.0585,2.0316,2.0865,0.9522,-0.4233,3.02E-03,2.2678,2.5508,251,168,4,255,108
43201.1333,43200.0333,74,20.68,3.762,9.5256,2.0582,2.0402,2.0864,0.952,-0.4238,3.41E-03,2.2682,2.5521,249,169,6,255,109
43801.1333,43800.0333,75,20.62,3.753,9.5055,2.0583,2.0402,2.0866,0.9519,-0.4247,3.20E-03,2.2691,2.5577,248,167,7,255,109
44401.1333,44400.0333,76,20.56,3.773,9.5472,2.0584,2.0316,2.0865,0.9516,-0.4258,3.19E-03,2.2685,2.5554,251,168,4,255,108
45001.1333,45000.0333,77,20.62,3.8,9.6003,2.0585,2.0316,2.0868,0.9519,-0.4248,3.17E-03,2.2701,2.5634,249,164,6,255,109
45601.1333,45600.0333,78,20.57,3.787,9.5755,2.0581,2.0316,2.0867,0.9516,-0.4257,3.70E-03,2.2696,2.5597,249,168,6,255,109
46201.1333,46200.0333,79,20.68,3.818,9.6341,2.0583,2.0316,2.087,0.9523,-0.4239,3.07E-03,2.2693,2.568,249,168,6,255,109
46801.1333,46800.0333,80,20.72,3.78,9.561,2.0587,2.0316,2.086,0.9522,-0.4231,3.21E-03,2.2701,2.5575,247,169,8,255,110
47401.1333,47400.0333,81,20.62,3.818,9.6348,2.0585,2.0316,2.0869,0.952,-0.4248,3.15E-03,2.2691,2.5686,247,170,8,255,110
48001.1333,48000.0333,82,20.62,3.802,9.604,2.0589,2.0316,2.0867,0.9519,-0.4249,3.07E-03,2.2711,2.564,249,165,6,255,109
48601.1333,48600.0333,83,20.55,3.818,9.6345,2.0587,2.0316,2.0866,0.9516,-0.4261,3.46E-03,2.2678,2.5688,251,167,4,255,108
49201.1333,49200.0333,84,20.6,3.826,9.6533,2.0583,2.0316,2.0865,0.9517,-0.4252,3.19E-03,2.2715,2.5716,248,161,7,255,109
