Run,Graph,Index,Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
49801.1333,49800.0333,85,4.602,25.19,4.602,11.116,2.0698,2.0533,2.14E+00,0.9885,-0.3801,2.90E-03,2.0949,2.2912,253,177,2,255,106
50401.1333,50400.0333,86,4.546,25.17,4.546,11.002,2.0701,2.0524,2.14E+00,0.9885,-0.3804,2.49E-03,2.0963,2.2899,253,176,2,255,106
51001.1333,51000.0333,87,4.598,25.21,4.598,11.107,2.0701,2.0518,2.14E+00,0.9886,-0.3799,2.37E-03,2.0972,2.2896,253,176,2,255,106
51601.1333,51600.0333,88,4.549,25.32,4.549,11.006,2.0703,2.0549,2.14E+00,0.989,-0.3786,2.72E-03,2.0979,2.2912,254,175,1,255,106
52201.1333,52200.0333,89,4.563,25.15,4.563,11.016,2.0624,2.0486,2.15E+00,0.9914,-0.3831,4.00E-03,2.1067,2.3051,251,177,4,255,108
52801.1333,52800.0333,90,4.527,24.9,4.527,10.963,2.0709,2.0591,2.14E+00,0.9872,-0.3836,3.55E-03,2.1007,2.3021,253,181,2,255,106
53401.1333,53400.0333,91,4.655,25.14,4.655,11.216,2.0415,2.0373,2.14E+00,0.9891,-0.3814,2.89E-03,2.1018,2.3064,254,179,1,255,106
54001.1333,54000.0333,92,4.604,25.13,4.604,11.113,2.0417,2.037,2.14E+00,0.989,-0.3815,2.62E-03,2.1017,2.3071,254,177,1,255,106
54601.1333,54600.0333,93,4.593,25.22,4.593,11.089,2.0418,2.036,2.14E+00,0.9895,-0.3804,2.46E-03,2.1021,2.3027,255,180,0,255,105
55201.1333,55200.0333,94,4.561,25.12,4.561,11.025,2.0419,2.038,2.14E+00,0.989,-0.3816,2.68E-03,2.1055,2.3099,255,180,0,255,105
55801.1333,55800.0333,95,4.635,25.18,4.635,11.175,2.0417,2.0338,2.14E+00,0.9892,-0.3809,2.96E-03,2.1048,2.3079,255,183,0,255,105
56401.1333,56400.0333,96,4.596,25.35,4.596,11.098,2.0421,2.0353,2.14E+00,0.9899,-0.3788,2.84E-03,2.1011,2.3131,255,176,0,255,105
57001.1333,57000.0333,97,4.602,25.01,4.602,11.115,2.0711,2.0561,2.14E+00,0.9875,-0.3821,2.96E-03,2.1033,2.3006,251,179,4,255,108
57601.1333,57600.0333,98,4.6,25.12,4.6,11.113,2.0718,2.0551,2.14E+00,0.9878,-0.3807,2.49E-03,2.1037,2.3084,252,177,3,255,107
58201.1333,58200.0333,99,4.562,25.12,4.562,11.033,2.0702,2.0627,2.14E+00,0.9883,-0.3811,2.56E-03,2.1043,2.3119,255,178,0,255,105
58801.1333,58800.0333,100,4.563,25.11,4.563,11.038,2.0713,2.0592,2.14E+00,0.9879,-0.3809,2.60E-03,2.1015,2.313,253,178,2,255,106
59401.1333,59400.0333,101,4.532,25.03,4.532,10.974,2.0716,2.0594,2.14E+00,0.9875,-0.3818,2.71E-03,2.1019,2.312,255,178,0,255,105
60001.1333,60000.0333,102,4.61,25.42,4.61,11.133,2.0719,2.0579,2.14E+00,0.989,-0.3771,2.73E-03,2.1046,2.3116,254,175,1,255,106
60601.1333,60600.0333,103,4.615,25.19,4.615,11.141,2.0708,2.0583,2.14E+00,0.9884,-0.38,2.71E-03,2.1013,2.3205,253,178,2,255,106
61201.1333,61200.0333,104,4.533,25.02,4.533,10.975,2.0711,2.0587,2.14E+00,0.9876,-0.382,2.68E-03,2.1037,2.3122,253,180,2,255,106
61801.1333,61800.0333,105,4.556,24.99,4.556,11.021,2.0708,2.0581,2.14E+00,0.9877,-0.3825,2.92E-03,2.1044,2.319,253,183,2,255,106
62401.1333,62400.0333,106,4.558,25.14,4.558,11.027,2.0711,2.0578,2.14E+00,0.9881,-0.3806,2.53E-03,2.1008,2.3194,254,178,1,255,106
63001.1333,63000.0333,107,4.518,24.81,4.518,10.946,2.0709,2.0597,2.14E+00,0.9868,-0.3847,2.66E-03,2.103,2.3244,253,180,2,255,106
63601.1333,63600.0333,108,4.53,24.92,4.53,10.971,2.0711,2.0597,2.14E+00,0.9872,-0.3833,3.25E-03,2.1019,2.3199,253,184,2,255,106
64201.1333,64200.0333,109,4.554,25,4.554,11.019,2.0715,2.064,2.14E+00,0.9874,-0.3822,2.82E-03,2.1019,2.3191,255,178,0,255,105
64801.1333,64800.0333,110,4.631,25.08,4.631,11.167,2.042,2.0378,2.14E+00,0.9888,-0.3821,3.28E-03,2.1066,2.3157,255,181,0,255,105
65401.1333,65400.0333,111,4.587,25.09,4.587,11.08,2.0419,2.0339,2.14E+00,0.9889,-0.3819,2.70E-03,2.1041,2.327,255,180,0,255,105
66001.1333,66000.0333,112,4.612,25.12,4.612,11.129,2.042,2.0348,2.14E+00,0.9889,-0.3815,2.85E-03,2.1066,2.3262,255,183,0,255,105
66601.1333,66600.0333,113,4.617,24.17,4.617,11.14,2.0426,2.0361,2.14E+00,0.9847,-0.3932,3.44E-03,2.1026,2.3311,255,179,0,255,105
67201.1333,67200.0333,114,4.721,23.9,4.721,11.343,2.0432,2.0379,2.14E+00,0.9844,-0.3974,2.83E-03,2.1095,2.3534,255,179,0,255,105
67801.1333,67800.0333,115,4.734,23.9,4.734,11.369,2.0437,2.0398,2.14E+00,0.9844,-0.3973,2.69E-03,2.1084,2.3484,255,178,0,255,105
68401.1333,68400.0333,116,4.657,23.7,4.657,11.212,2.0438,2.0375,2.14E+00,0.9835,-0.4001,2.93E-03,2.1079,2.3587,255,177,0,255,105
69001.1333,69000.0333,117,4.716,23.82,4.716,11.333,2.0446,2.0385,2.14E+00,0.9839,-0.3982,2.85E-03,2.1106,2.3605,255,179,0,255,105
69601.1333,69600.0333,118,4.669,23.64,4.669,11.239,2.0446,2.0385,2.14E+00,0.9831,-0.4007,3.74E-03,2.114,2.3631,255,179,0,255,105
70201.1333,70200.0333,119,4.604,23.73,4.604,11.107,2.0447,2.0375,2.14E+00,0.9836,-0.3995,2.76E-03,2.1136,2.3673,255,179,0,255,105
70801.1333,70800.0333,120,4.693,23.81,4.693,11.286,2.0447,2.0346,2.14E+00,0.9839,-0.3984,2.82E-03,2.1168,2.3612,255,178,0,255,105
71401.1333,71400.0333,121,4.657,23.78,4.657,11.215,2.0452,2.0397,2.14E+00,0.9836,-0.3987,2.81E-03,2.1127,2.3673,255,177,0,255,105
72001.1333,72000.0333,122,4.594,23.64,4.594,11.087,2.0452,2.0357,2.14E+00,0.983,-0.4007,2.98E-03,2.1164,2.3728,255,184,0,255,105
72601.1333,72600.0333,123,4.709,23.82,4.709,11.32,2.0453,2.0397,2.14E+00,0.9837,-0.3981,2.80E-03,2.1169,2.3669,255,179,0,255,105
73201.1333,73200.0333,124,4.636,23.8,4.636,11.174,2.0457,2.0413,2.14E+00,0.9835,-0.3983,2.76E-03,2.1193,2.3697,255,177,0,255,105
