Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m],,,,,,,,,,,,,
38100.0333,408240,0.187559262,0.95603602,10.41,,,,,,,,,,,,,
38400.0333,408480,0.187559262,0.95603602,10.41,,,,,,,,,,,,,
38700.0333,408780,0.187539811,0.95603602,10.41,,,,,,,,,,,,,
39000.0333,409140,0.187527541,0.95603602,10.39,,,,,,,,,,,,,
39300.0333,409380,0.187533551,0.95603602,10.39,,,,,,,,,,,,,
39600.0333,409740,0.187559262,0.95603602,10.39,,,,,,,,,,,,,
39900.0333,410040,0.187559262,0.95603602,10.42,,,,,,,,,,,,,
40200.0333,410280,0.187559262,0.95603602,10.42,,,,,,,,,,,,,
40500.0333,410640,0.187559262,0.95603602,10.39,,,,,,,,,,,,,
40800.0333,410880,0.187559262,0.95603602,10.39,,,,,,,,,,,,,
41100.0333,411180,0.187559262,0.95603602,10.42,,,,,,,,,,,,,
41400.0333,411540,0.187559262,0.95603602,10.39,,,,,,,,,,,,,
41700.0333,411780,0.187559262,0.95603602,10.42,,,,,,,,,,,,,
42000.0333,412140,0.187563236,0.95603602,10.38,,,,,,,,,,,,,
42300.0333,412440,0.187583237,0.95603602,10.4,,,,,,,,,,,,,
42600.0333,412680,0.187590984,0.95603602,10.4,,,,,,,,,,,,,
42900.0333,413040,0.187590984,0.95603602,10.41,,,,,,,,,,,,,
43200.0333,413280,0.187590984,0.95603602,10.41,,,,,,,,,,,,,
43500.0333,413580,0.187590984,0.95603602,10.42,,,,,,,,,,,,,
43800.0333,413940,0.187590984,0.95603602,10.41,,,,,,,,,,,,,
44100.0333,414180,0.187590984,0.95603602,10.51,,,,,,,,,,,,,
44400.0333,414540,0.187587327,0.95603602,10.4,,,,,,,,,,,,,
44700.0333,414840,0.187567325,0.95603602,10.42,,,,,,,,,,,,,
45000.0333,415080,0.187559262,0.95603602,10.44,,,,,,,,,,,,,
45300.0333,415440,0.187549044,0.95603602,10.4,,,,,,,,,,,,,
45600.0333,415680,0.187529043,0.95603602,10.39,,,,,,,,,,,,,
45900.0333,415980,0.187509047,0.95603602,10.43,,,,,,,,,,,,,
46200.0333,416340,0.187495829,0.95603602,10.38,,,,,,,,,,,,,
46500.0333,416580,0.187480658,0.95603602,10.41,,,,,,,,,,,,,
46800.0333,416940,0.18739738,0.95603602,10.39,,,,,,,,,,,,,
47100.0333,417240,0.187377393,0.95603602,10.43,,,,,,,,,,,,,
47400.0333,417480,0.187357413,0.95603602,10.41,,,,,,,,,,,,,
47700.0333,417840,0.187307672,0.95603602,10.41,,,,,,,,,,,,,
48000.0333,418080,0.187247754,0.95603602,10.43,,,,,,,,,,,,,
48300.0333,418380,0.187224155,0.95603602,10.41,,,,,,,,,,,,,
48600.0333,418740,0.187194207,0.95603602,10.39,,,,,,,,,,,,,
48900.0333,418980,0.187178976,0.95603602,10.42,,,,,,,,,,,,,
49200.0333,419340,0.18717596,0.95603602,10.42,,,,,,,,,,,,,
49500.0333,419640,0.187155998,0.95603602,10.38,,,,,,,,,,,,,
49800.0333,419880,0.18713604,0.95603602,10.42,,,,,,,,,,,,,
50100.0333,420240,0.187115668,0.95603602,10.43,,,,,,,,,,,,,
50400.0333,420480,0.187115668,0.95603602,10.41,,,,,,,,,,,,,
50700.0333,420720,0.187115668,0.95603602,10.4,,,,,,,,,,,,,
51000.0333,421140,0.187115668,0.95603602,10.44,,,,,,,,,,,,,
51300.0333,421380,0.187115668,0.95603602,10.4,,,,,,,,,,,,,
51600.0333,421740,0.187115668,0.95603602,10.4,,,,,,,,,,,,,
51900.0333,422040,0.187115668,0.95603602,10.42,,,,,,,,,,,,,
52200.0333,422280,0.187115668,0.95603602,10.43,,,,,,,,,,,,,
52500.0333,422640,0.187115668,0.95603602,10.41,,,,,,,,,,,,,
52800.0333,422880,0.187115668,0.95603602,10.4,,,,,,,,,,,,,
53100.0333,423120,0.187133175,0.95603602,10.41,,,,,,,,,,,,,
53400.0333,423540,0.187147318,0.95603602,10.42,,,,,,,,,,,,,
53700.0333,423780,0.187147318,0.95603602,10.4,,,,,,,,,,,,,
54000.0333,424140,0.187147318,0.95603602,10.39,,,,,,,,,,,,,
54300.0333,424380,0.187147318,0.95603602,10.39,,,,,,,,,,,,,
54600.0333,424680,0.187157965,0.95603602,10.4,,,,,,,,,,,,,
54900.0333,425040,0.187178976,0.95603602,10.41,,,,,,,,,,,,,
55200.0333,425280,0.187178976,0.95603602,10.41,,,,,,,,,,,,,
55500.0333,425520,0.187213371,0.95603602,10.4,,,,,,,,,,,,,
55800.0333,425940,0.187257791,0.95603602,10.42,,,,,,,,,,,,,
56100.0333,426180,0.187277762,0.95603602,10.39,,,,,,,,,,,,,
56400.0333,426540,0.187309785,0.95603602,10.41,,,,,,,,,,,,,
56700.0333,426780,0.18734974,0.95603602,10.42,,,,,,,,,,,,,
57000.0333,427080,0.187379363,0.95603602,10.4,,,,,,,,,,,,,
57300.0333,427440,0.187409343,0.95603602,10.41,,,,,,,,,,,,,
57600.0333,427680,0.187429328,0.95603602,10.41,,,,,,,,,,,,,
57900.0333,427920,0.187449317,0.95603602,10.38,,,,,,,,,,,,,
58200.0333,428340,0.187494493,0.95603602,10.39,,,,,,,,,,,,,
58500.0333,428580,0.187527541,0.95603602,10.4,,,,,,,,,,,,,
58800.0333,428940,0.187529294,0.95603602,10.38,,,,,,,,,,,,,
59100.0333,429180,0.187549294,0.95603602,10.4,,,,,,,,,,,,,
59400.0333,429480,0.18757933,0.95603602,10.42,,,,,,,,,,,,,
59700.0333,429840,0.187655986,0.95603602,10.4,,,,,,,,,,,,,
60000.0333,430080,0.187736052,0.95603602,10.4,,,,,,,,,,,,,
60300.0333,430440,0.187829578,0.95603602,10.4,,,,,,,,,,,,,
60600.0333,430740,0.187830078,0.95603602,10.4,,,,,,,,,,,,,
60900.0333,430980,0.187810047,0.95603602,10.39,,,,,,,,,,,,,
61200.0333,431340,0.187780002,0.95603602,10.38,,,,,,,,,,,,,
61500.0333,431580,0.187759982,0.95603602,10.38,,,,,,,,,,,,,
61800.0333,431880,0.187739961,0.95603602,10.36,,,,,,,,,,,,,
62100.0333,432240,0.187709931,0.95603602,10.42,,,,,,,,,,,,,
62400.0333,432480,0.187689917,0.95603602,10.41,,,,,,,,,,,,,
62700.0333,432840,0.187659895,0.95603602,10.41,,,,,,,,,,,,,
63000.0333,433140,0.187654449,0.95603602,10.37,,,,,,,,,,,,,
63300.0333,433380,0.187651609,0.95603602,10.39,,,,,,,,,,,,,
63600.0333,433740,0.187621593,0.95603602,10.4,,,,,,,,,,,,,
63900.0333,433980,0.187601587,0.95603602,10.38,,,,,,,,,,,,,
64200.0333,434280,0.187581584,0.95603602,10.38,,,,,,,,,,,,,
64500.0333,434640,0.187559262,0.95603602,10.41,,,,,,,,,,,,,
64800.0333,434880,0.187559262,0.95603602,10.38,,,,,,,,,,,,,
65100.0333,435240,0.1875333,0.95603602,10.44,,,,,,,,,,,,,
65400.0333,435540,0.187513303,0.95603602,10.43,,,,,,,,,,,,,
65700.0333,435780,0.187493309,0.95603602,10.4,,,,,,,,,,,,,
66000.0333,436140,0.187464119,0.95603602,10.4,,,,,,,,,,,,,
66300.0333,436380,0.187464119,0.95603602,10.41,,,,,,,,,,,,,
66600.0333,436680,0.18745504,0.95603602,10.4,,,,,,,,,,,,,
66900.0333,437040,0.187425056,0.95603602,10.39,,,,,,,,,,,,,
67200.0333,437280,0.187405071,0.95603602,10.39,,,,,,,,,,,,,
67500.0333,437640,0.187400718,0.95603602,10.42,,,,,,,,,,,,,
67800.0333,437940,0.187386803,0.95603602,10.41,,,,,,,,,,,,,
68100.0333,438180,0.187369019,0.95603602,10.42,,,,,,,,,,,,,
68400.0333,438540,0.187368535,0.95603602,10.41,,,,,,,,,,,,,
68700.0333,438780,0.187348559,0.95603602,10.41,,,,,,,,,,,,,
69000.0333,439080,0.187337338,0.95603602,10.4,,,,,,,,,,,,,
69300.0333,439440,0.187337338,0.95603602,10.4,,,,,,,,,,,,,
69600.0333,439680,0.187337338,0.95603602,10.39,,,,,,,,,,,,,
69900.0333,440040,0.187312036,0.95603602,10.38,,,,,,,,,,,,,
70200.0333,440340,0.187305649,0.95603602,10.38,,,,,,,,,,,,,
70500.0333,440580,0.187305649,0.95603602,10.43,,,,,,,,,,,,,
70800.0333,440940,0.187305649,0.95603602,10.4,,,,,,,,,,,,,
71100.0333,441180,0.187305649,0.95603602,10.4,,,,,,,,,,,,,
71400.0333,441480,0.187305649,0.95603602,10.41,,,,,,,,,,,,,
71700.0333,441840,0.187298931,0.95603602,10.4,,,,,,,,,,,,,
72000.0333,442080,0.187278962,0.95603602,10.4,,,,,,,,,,,,,
72300.0333,442440,0.187273978,0.95603602,10.42,,,,,,,,,,,,,
72600.0333,442740,0.187273978,0.95603602,10.39,,,,,,,,,,,,,
72900.0333,442980,0.187273978,0.95603602,10.42,,,,,,,,,,,,,
73200.0333,443340,0.187273978,0.95603602,10.41,,,,,,,,,,,,,
73500.0333,443580,0.187254156,0.95603602,10.41,,,,,,,,,,,,,
73800.0333,443880,0.187242304,0.95603602,10.42,,,,,,,,,,,,,
74100.0333,444240,0.187242304,0.95603602,10.41,,,,,,,,,,,,,
74400.0333,444480,0.187242304,0.95603602,10.42,,,,,,,,,,,,,
74700.0333,444840,0.187242304,0.95603602,10.42,,,,,,,,,,,,,
75000.0333,445140,0.187242304,0.95603602,10.41,,,,,,,,,,,,,
75300.0333,445380,0.187242304,0.95603602,10.4,,,,,,,,,,,,,
75600.0333,445740,0.187242304,0.95603602,10.43,,,,,,,,,,,,,
75900.0333,445980,0.187261809,0.95603602,10.42,,,,,,,,,,,,,
76200.0333,446220,0.187273978,0.95603602,10.41,,,,,,,,,,,,,
76500.0333,446640,0.187273978,0.95603602,10.43,,,,,,,,,,,,,
76800.0333,446880,0.187273978,0.95603602,10.41,,,,,,,,,,,,,
77100.0333,447240,0.187273978,0.95603602,10.44,,,,,,,,,,,,,
77400.0333,447540,0.187273978,0.95603602,10.39,,,,,,,,,,,,,
77700.0333,447780,0.187273978,0.95603602,10.39,,,,,,,,,,,,,
78000.0333,448140,0.187273978,0.95603602,10.42,,,,,,,,,,,,,
78300.0333,448380,0.18725479,0.95603602,10.4,,,,,,,,,,,,,
78600.0333,448620,0.187242304,0.95603602,10.54,,,,,,,,,,,,,
78900.0333,449040,0.187242304,0.95603602,10.42,,,,,,,,,,,,,
79200.0333,449280,0.187242304,0.95603602,10.43,,,,,,,,,,,,,
79500.0333,449640,0.187242304,0.95603602,10.41,,,,,,,,,,,,,
79800.0333,449940,0.187229988,0.95603602,10.41,,,,,,,,,,,,,
80100.0333,450180,0.18721064,0.95603602,10.43,,,,,,,,,,,,,
80400.0333,450540,0.18721064,0.95603602,10.42,,,,,,,,,,,,,
80700.0333,450780,0.18721064,0.95603602,10.42,,,,,,,,,,,,,
81000.0333,451020,0.18721064,0.95603602,10.42,,,,,,,,,,,,,
81300.0333,451440,0.18721064,0.95603602,10.4,,,,,,,,,,,,,
81600.0333,451680,0.18721064,0.95603602,10.42,,,,,,,,,,,,,
81900.0333,452040,0.18721064,0.95603602,10.42,,,,,,,,,,,,,
82200.0333,452280,0.18719864,0.95603602,10.43,,,,,,,,,,,,,
82500.0333,452580,0.187178976,0.95603602,10.4,,,,,,,,,,,,,
82800.0333,452940,0.187178976,0.95603602,10.42,,,,,,,,,,,,,
83100.0333,453180,0.187178976,0.95603602,10.41,,,,,,,,,,,,,
83400.0333,453420,0.187178976,0.95603602,10.39,,,,,,,,,,,,,
83700.0333,453840,0.187173844,0.95603602,10.42,,,,,,,,,,,,,
84000.0333,454080,0.187153882,0.95603602,10.44,,,,,,,,,,,,,
84300.0333,454440,0.187147318,0.95603602,10.44,,,,,,,,,,,,,
84600.0333,454680,0.187147318,0.95603602,10.42,,,,,,,,,,,,,
84900.0333,454980,0.187147318,0.95603602,10.41,,,,,,,,,,,,,
85200.0333,455340,0.187147318,0.95603602,10.44,,,,,,,,,,,,,
85500.0333,455580,0.187165546,0.95603602,10.42,,,,,,,,,,,,,
85800.0333,455940,0.187178976,0.95603602,10.41,,,,,,,,,,,,,
86100.0333,456240,0.187178976,0.95603602,10.55,,,,,,,,,,,,,
86400.0333,456480,0.187178976,0.95603602,10.41,,,,,,,,,,,,,
86700.0333,456840,0.187178976,0.95603602,10.41,,,,,,,,,,,,,
87000.0333,457080,0.187178976,0.95603602,10.42,,,,,,,,,,,,,
87300.0333,457380,0.187178976,0.95603602,10.42,,,,,,,,,,,,,
87600.0333,457740,0.187178976,0.95603602,10.43,,,,,,,,,,,,,
